,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0181/0001,F,18,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'B',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
1,S0181/0002,F,18,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'A' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
2,S0181/0003,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'B' KISW - 'C' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
3,S0181/0004,F,18,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'A' PHY - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
4,S0181/0005,F,12,I,CIV - 'C' HIST - 'A' GEO - 'C' B/KNOWL - 'A' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'A' BIO - 'B' B/MATH - 'C',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
5,S0181/0006,F,25,III,CIV - 'D' HIST - 'C' GEO - 'D' B/KNOWL - 'F' KISW - 'C' ENGL - 'C' BIO - 'D' B/MATH - 'F' COMM - 'D' B/KEEPING - 'D',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
6,S0181/0007,F,25,III,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' BIO - 'D' B/MATH - 'F',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
7,S0181/0008,F,17,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
8,S0181/0009,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'B' KISW - 'B' ENGL - 'C' BIO - 'C' B/MATH - 'F' COMM - 'C' B/KEEPING - 'C',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
9,S0181/0010,F,22,III,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' CHEM - 'D' BIO - 'C' B/MATH - 'D',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
10,S0181/0012,F,21,II,CIV - 'C' HIST - 'B' GEO - 'C' B/KNOWL - 'C' KISW - 'D' ENGL - 'C' PHY - 'F' CHEM - 'D' BIO - 'C' B/MATH - 'F',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
11,S0181/0013,F,29,IV,CIV - 'D' HIST - 'D' GEO - 'F' KISW - 'C' ENGL - 'D' BIO - 'D' B/MATH - 'F' COMM - 'F' B/KEEPING - 'F',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
12,S0181/0014,F,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'F' COMM - 'C' B/KEEPING - 'D',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
13,S0181/0015,F,31,IV,CIV - 'D' HIST - 'D' GEO - 'F' B/KNOWL - 'F' KISW - 'D' ENGL - 'F' BIO - 'D' B/MATH - 'F',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
14,S0181/0016,F,26,IV,CIV - 'D' HIST - 'D' GEO - 'D' B/KNOWL - 'D' KISW - 'C' ENGL - 'C' BIO - 'D' B/MATH - 'F' COMM - 'D' B/KEEPING - 'D',S0181,KISARAWE LUTHERAN JUNIOR SEMINARY,PWANI
